Execution time: 2025-12-27 21:27:08
idx:97 input_id:40856 decoded_text: *.
idx:98 input_id:2290 decoded_text: 01
idx:99 input_id:9 decoded_text: *
idx:100 input_id:1353 decoded_text: 100
idx:101 input_id:15 decoded_text: 0
idx:102 input_id:28 decoded_text: =
idx:103 input_id:4095 decoded_text: 300
idx:104 input_id:3920 decoded_text: >>
idx:105 input_id:4095 decoded_text: 300
idx:106 input_id:31093 decoded_text:  Entertainment
idx:107 input_id:382 decoded_text:  is
idx:108 input_id:256 decoded_text:   
idx:109 input_id:220 decoded_text:  
idx:110 input_id:1161 decoded_text: 25
idx:111 input_id:4 decoded_text: %
idx:112 input_id:425 decoded_text:  *
idx:113 input_id:548 decoded_text:  $
idx:114 input_id:1353 decoded_text: 100
idx:115 input_id:15 decoded_text: 0
idx:116 input_id:7423 decoded_text: =$
idx:117 input_id:5354 decoded_text: <<
idx:118 input_id:1161 decoded_text: 25
idx:119 input_id:40856 decoded_text: *.
idx:120 input_id:2290 decoded_text: 01
idx:121 input_id:9 decoded_text: *
idx:122 input_id:1353 decoded_text: 100
idx:123 input_id:15 decoded_text: 0
idx:124 input_id:28 decoded_text: =
idx:125 input_id:6911 decoded_text: 250
idx:126 input_id:3920 decoded_text: >>
idx:127 input_id:6911 decoded_text: 250
idx:128 input_id:164324 decoded_text:  Coursework
idx:129 input_id:7875 decoded_text:  materials
idx:130 input_id:553 decoded_text:  are
idx:131 input_id:13972 decoded_text:  thus
idx:132 input_id:548 decoded_text:  $
idx:133 input_id:1353 decoded_text: 100
idx:134 input_id:15 decoded_text: 0
idx:135 input_id:12 decoded_text: -
idx:136 input_id:1270 decoded_text: ($
idx:137 input_id:5215 decoded_text: 150
idx:138 input_id:71467 decoded_text: +$
idx:139 input_id:4095 decoded_text: 300
idx:140 input_id:71467 decoded_text: +$
idx:141 input_id:6911 decoded_text: 250
idx:142 input_id:8 decoded_text: )
idx:143 input_id:314 decoded_text:  =
idx:144 input_id:548 decoded_text:  $
idx:145 input_id:4095 decoded_text: 300
idx:146 input_id:12625 decoded_text:  Final
idx:147 input_id:6052 decoded_text:  answer
idx:148 input_id:25 decoded_text: :
---------- predict ----------
pred_label:548
decoded_pred_text (only for generation task):  $
==================================================
