Execution time: 2026-01-19 18:39:34
idx:43 input_id:16345 decoded_text:  salt
idx:44 input_id:738 decoded_text:  will
idx:45 input_id:10874 decoded_text:  Jack
idx:46 input_id:717 decoded_text:  get
idx:47 input_id:1261 decoded_text:  when
idx:48 input_id:722 decoded_text:  all
idx:49 input_id:290 decoded_text:  the
idx:50 input_id:3411 decoded_text:  water
idx:51 input_id:84074 decoded_text:  evapor
idx:52 input_id:1381 decoded_text: ates
idx:53 input_id:30 decoded_text: ?
idx:54 input_id:8338 decoded_text:  First
idx:55 input_id:1646 decoded_text:  find
idx:56 input_id:1495 decoded_text:  how
idx:57 input_id:1991 decoded_text:  many
idx:58 input_id:150730 decoded_text:  liters
idx:59 input_id:328 decoded_text:  of
idx:60 input_id:290 decoded_text:  the
idx:61 input_id:188434 decoded_text:  seaw
idx:62 input_id:1005 decoded_text: ater
idx:63 input_id:553 decoded_text:  are
idx:64 input_id:16345 decoded_text:  salt
idx:65 input_id:25 decoded_text: :
idx:66 input_id:220 decoded_text:  
idx:67 input_id:17 decoded_text: 2
idx:68 input_id:150730 decoded_text:  liters
idx:69 input_id:425 decoded_text:  *
idx:70 input_id:220 decoded_text:  
idx:71 input_id:455 decoded_text: 20
idx:72 input_id:4 decoded_text: %
idx:73 input_id:314 decoded_text:  =
idx:74 input_id:2256 decoded_text:  <<
idx:75 input_id:17 decoded_text: 2
idx:76 input_id:9 decoded_text: *
idx:77 input_id:455 decoded_text: 20
idx:78 input_id:40856 decoded_text: *.
idx:79 input_id:2290 decoded_text: 01
idx:80 input_id:112189 decoded_text: =.
idx:81 input_id:19 decoded_text: 4
idx:82 input_id:3920 decoded_text: >>
idx:83 input_id:13 decoded_text: .
idx:84 input_id:19 decoded_text: 4
idx:85 input_id:150730 decoded_text:  liters
idx:86 input_id:7801 decoded_text:  Then
idx:87 input_id:57388 decoded_text:  multiply
idx:88 input_id:484 decoded_text:  that
idx:89 input_id:4527 decoded_text:  amount
idx:90 input_id:656 decoded_text:  by
idx:91 input_id:220 decoded_text:  
idx:92 input_id:1353 decoded_text: 100
idx:93 input_id:15 decoded_text: 0
idx:94 input_id:17387 decoded_text:  ml
idx:95 input_id:16347 decoded_text: /l
idx:96 input_id:2340 decoded_text: iter
idx:97 input_id:316 decoded_text:  to
idx:98 input_id:1646 decoded_text:  find
idx:99 input_id:290 decoded_text:  the
idx:100 input_id:2086 decoded_text:  number
idx:101 input_id:328 decoded_text:  of
idx:102 input_id:17387 decoded_text:  ml
idx:103 input_id:328 decoded_text:  of
idx:104 input_id:16345 decoded_text:  salt
idx:105 input_id:10874 decoded_text:  Jack
idx:106 input_id:8625 decoded_text:  gets
idx:107 input_id:25 decoded_text: :
idx:108 input_id:887 decoded_text:  .
idx:109 input_id:19 decoded_text: 4
idx:110 input_id:150730 decoded_text:  liters
idx:111 input_id:425 decoded_text:  *
idx:112 input_id:220 decoded_text:  
idx:113 input_id:1353 decoded_text: 100
idx:114 input_id:15 decoded_text: 0
idx:115 input_id:17387 decoded_text:  ml
idx:116 input_id:16347 decoded_text: /l
idx:117 input_id:2340 decoded_text: iter
idx:118 input_id:314 decoded_text:  =
idx:119 input_id:2256 decoded_text:  <<
idx:120 input_id:13 decoded_text: .
idx:121 input_id:19 decoded_text: 4
idx:122 input_id:9 decoded_text: *
idx:123 input_id:1353 decoded_text: 100
idx:124 input_id:15 decoded_text: 0
idx:125 input_id:28 decoded_text: =
idx:126 input_id:4812 decoded_text: 400
idx:127 input_id:3920 decoded_text: >>
idx:128 input_id:4812 decoded_text: 400
idx:129 input_id:17387 decoded_text:  ml
idx:130 input_id:12625 decoded_text:  Final
idx:131 input_id:6052 decoded_text:  answer
idx:132 input_id:25 decoded_text: :
---------- predict ----------
pred_label:220
decoded_pred_text (only for generation task):  
==================================================
